Symbol,Weight,Beta,CSD
WFC,0.007797765854106278,1.1406284801702538,1.5027215252497272e-5
ETN,0.007738369238774796,1.1166520047776467,1.4089008772054242e-5
AMZN,0.03138183531934683,1.5323651763353714,1.3922142833080553e-5
QCOM,0.009311606669351274,1.4796007149382953,1.4457521239470823e-5
LMT,0.009211528305520043,0.32069634626288557,6.46145324918214e-6
KO,0.01233024331710965,0.3832026511156864,9.604748494652851e-6
JNJ,0.007605107159065761,0.34324090050388467,1.0022152558264237e-5
ISRG,0.011578176356200422,1.215319292458048,1.6018661021426528e-5
XOM,0.010256842617752594,0.5632065567073171,1.293043980465748e-5
MDT,0.008734184303748962,0.65803082631974,1.2380335096043195e-5
DHR,0.00818961163720167,0.9085251334139065,1.2369236319741289e-5
PLD,0.010879472453941335,1.2657033880344082,1.699712616652755e-5
BA,0.006282659259161089,1.0262077517396735,1.4950327278020522e-5
PG,0.01567927108935338,0.3847796239806784,1.0567345331836117e-5
MRK,0.010667438477614827,0.26335994352534203,1.131996561368585e-5
AMD,0.0059600520658132415,1.936637046437168,1.2499310511739563e-5
BX,0.007006545347792898,1.8149127725950802,1.695020374633492e-5
PM,0.020649981590058566,0.5667755010948081,1.2388716356771386e-5
SCHW,0.005779047992134171,1.3489904139545787,1.5639903914926918e-5
VZ,0.006520301146820494,0.477891403401,1.0602367708563033e-5
COP,0.016627640572528222,0.6696440040184756,1.5159935688406017e-5
ADI,0.008664133207269272,1.2453620121359674,1.2391777106742304e-5
BAC,0.0074789251723600585,1.2040425744724121,1.563478358451682e-5
NOW,0.007195582954309098,1.517848000066957,1.3347703729485866e-5
TMO,0.006841152397263024,0.8959444276387902,1.2846173991119395e-5
CVX,0.011550639143419026,0.5842810091525121,1.1196915175353268e-5
ANET,0.005814006732886104,1.3893281631794077,1.1813796504106876e-5
NVDA,0.022939543091237614,2.0180541370374763,1.354378190740278e-5
GE,0.004838185261904516,0.9253812302481552,1.1785650855261523e-5
GILD,0.00902759688511994,0.5484619911623858,1.4606604433777052e-5
MU,0.00573085719218298,1.3563706404464715,1.2449830528471543e-5
CMCSA,0.010317341298791406,1.0046297536966435,1.4237514777316786e-5
DIS,0.00807215700104216,1.103179514577866,1.251848238278876e-5
AXP,0.007161252138892767,1.2038544194909029,1.400909431009956e-5
HON,0.014386115248769652,0.9035211379458615,1.593873024204602e-5
META,0.027242929691512843,1.7659372707613499,1.4777894938910735e-5
NFLX,0.013113061592972536,1.3166257599918123,1.4195987775699917e-5
PGR,0.00852600315438294,0.3336830036839187,1.2408090192944124e-5
LLY,0.021623604019104826,0.44189799323964113,1.332628966758085e-5
JPM,0.007073384826726403,0.8759234324888319,1.3134817517998328e-5
VRTX,0.009592431474810917,0.6470765149010108,1.167290538635785e-5
TJX,0.014607443549856866,0.6529131600410284,1.173146672786204e-5
EQIX,0.009536775178470876,1.0672623747768264,1.3414103463905574e-5
AAPL,1.0763562478907406e-5,1.1037533748800852,-4.0835496965368665e-8
FI,0.010281784578329452,0.894198803471242,1.3292741209546903e-5
DE,0.010060245521267759,0.9472371548043215,1.5242315226000654e-5
SBUX,0.010472881486220052,0.9417739308179774,1.5613113628996672e-5
GOOGL,0.016840386219817184,1.378956881188149,1.3330309298833576e-5
T,0.0057970298649689875,0.4775538963690198,1.234890143735927e-5
ABT,0.005607980984450707,0.5871449462497743,1.1322326709848709e-5
BMY,0.01542372551160794,0.4346656549185003,1.0510748260215825e-5
MS,0.008616803620669761,1.199702120587632,1.3250091127505771e-5
CRM,0.0065592777842948214,1.22026020223938,1.2925023212836754e-5
PFE,0.011226774087777681,0.45296629238424985,1.1265587602170549e-5
SPGI,0.01219006821782447,1.233960194217719,1.6858883831148344e-5
BRK-B,0.012771065525788798,0.7185381525383835,1.2236396253317901e-5
ADBE,0.011920327160129135,1.6600734048935104,1.7847882119389544e-5
ACN,0.011845525206829481,1.080682214977994,1.1263593764307247e-5
AMGN,0.007400788832879212,0.5300974667858838,1.2474461253341448e-5
LIN,0.012684688547454349,0.7726528111695262,1.1776493911959326e-5
V,0.009256973514489522,0.7643031247033788,1.0951710743219742e-5
WMT,0.006219613869010883,0.39964217325280055,7.89757685061548e-6
AMAT,0.00845218404024165,1.603046142672101,1.4434047198560242e-5
CAT,0.009303366039825341,1.1111274426270668,1.4142977344895111e-5
RTX,0.00706151818384202,0.539341482040925,1.322027128230127e-5
UNP,0.015337728384888272,0.883530747256853,1.3751515148813189e-5
IBM,0.0044697131855103754,0.5013109937224733,3.7494050677888163e-6
TXN,0.009648102317257299,1.2453220896483197,1.4049505326837128e-5
ADP,0.008333632677431963,0.8644562721548659,1.2594472438849633e-5
GOOG,0.024010028388225614,1.4112270781480556,1.409608208362609e-5
ORCL,0.01585770286808367,1.0605061365132256,1.3941292637522744e-5
BSX,0.004421088819498373,0.5356472909971592,1.1092951464485553e-5
UNH,1.4486917536803539e-5,0.2838168366897319,-3.4264490972484534e-8
TMUS,0.011774699473280156,0.37368222523151823,9.869892356435965e-6
SYK,0.005224321364694943,0.8362886783388864,1.2366073988441723e-5
GS,0.007042854048736846,1.0670898358062404,1.3575651438458842e-5
UBER,0.008512017742576383,1.3999973679196074,1.3739363032306509e-5
AVGO,0.0067164743182952635,1.476309315322012,1.5164808906399185e-5
MMC,0.019979457112257355,0.7073273158938478,1.5153722329727868e-5
CSCO,0.010195801777386132,0.7583115134595929,1.2254440313276078e-5
PLTR,0.0031021705645680095,2.712818161437847,1.5196214611075693e-5
MA,0.0133866711380483,0.8836858522816161,1.347673263251185e-5
C,0.004548543981649392,1.1213166955669363,1.3418648877608103e-5
BKNG,0.004763371433538179,1.0093863580788187,1.1611051827411452e-5
MCD,0.010234200080773366,0.5058694235976641,1.086947273735543e-5
LOW,0.014654771305420776,1.070778690318284,1.3981643051815456e-5
HD,0.01240499163909534,1.0312994745498714,1.3400931243418616e-5
INTU,0.005796395508544545,1.5438341034979666,1.5217923995277525e-5
LRCX,0.006801688366292291,1.659387186387933,1.4402505991851975e-5
KKR,0.007084255414122674,1.7080978970252745,1.6033011753338598e-5
COST,0.010626065088732168,0.8108874162144808,1.2606854445030142e-5
NEE,0.009000305975166203,0.7151913709625748,1.4581774171214566e-5
ABBV,0.007174043454443958,0.21235234522261098,9.562312112215299e-6
TSLA,0.01672002637103711,2.2098089354936543,1.5221509966329814e-5
MSFT,7.217605270267526e-6,1.1696828566576942,-3.884275349998827e-8
PEP,0.012706837885355126,0.37674765134938376,1.0061274474621873e-5
CB,0.010390325247732896,0.4598258845609827,1.2695226735118173e-5
PANW,0.009362720859681697,1.1724758651884601,1.3305616800063976e-5
BLK,0.008172714337987814,1.2432915072441553,1.4185092389134756e-5
